coord,dependents
com.guicedee:versioner:1.2.0.3-jre17-rc8,0
com.liferay.portal:com.liferay.portal.impl:3.62.0,0
com.github.j5ik2o:docker-controller-scala-elasticmq_2.12:1.8.36,0
io.github.cdklabs:cdk-tweet-queue:1.0.79,0
com.datameshgroup.fusion:fusion-sdk:1.0.1,0
com.microsoft.commondatamodel:objectmodel:1.4.0,0
com.liferay:com.liferay.asset.category.property.service:1.0.38,0
com.liferay.commerce:com.liferay.commerce.account.service:1.0.55,0
com.liferay.plugins:tasks-portlet:7.1.10.65,0
app.cash.zipline:zipline-jvm:0.1.0,0
net.obvj:confectory:0.2.0,0
com.rojoma:rojoma-json-v3_2.13:3.14.0,0
io.virtualan:idaithalam-project:1.3.19,0
com.refinitiv.eta.json.converter:etajConverter:3.6.3.0,0
com.github.javadev:underscore:1.70,0
org.wso2.carbon.identity.governance:identity-governance:1.5.43,0
org.wso2.carbon.privacy:org.wso2.carbon.privacy.forgetme.api:1.3.3,0
org.wso2.carbon.apimgt:apimgt:9.0.352,0
org.wso2.carbon.identity.workflow.impl.bps:org.wso2.carbon.identity.workflow.mgt.bps.stub:5.4.8,0
com.squashedbug.camunda.bpm.extension.monitor:camunda-bpm-spring-boot-monitor-root:0.1.3,0
io.github.scouter-project:scouter-common:2.15.0,0
org.combinators:cls-scala_2.13:3.0.0+19-31f44f47,0
io.mongock:mongock-spring-base:5.0.13.RC,0
com.lihaoyi:mill-contrib-artifactory_2.13:0.10.0-M3-1-c78e11,0
com.github.swagger-akka-http:swagger-scala-module_2.11:2.5.0,0
io.github.derklaro:aerogel-auto:1.2.0,0
berlin.yuna:surveys:0.1.21,0
org.ikasan:ikasan-connector-basefiletransfer:3.1.2,0
org.camunda.bpm.extension:camunda-bpm-identity-keycloak-root:2.2.2,0
de.redsix:dmn-check-plugin-base:1.2.1,0
com.teamscale:report-generator:21.8.0,0
com.kumuluz.ee:kumuluzee-microProfile-3.2:3.12.2,0
org.elasticmq:elasticmq-rest-sqs_2.13:1.2.2,0
org.apache.servicemix.bundles:org.apache.servicemix.bundles.pulsar-client:2.8.1_1,0
com.softwaremill.sttp.model:core_2.12:1.4.12,0
com.dorkbox:ByteUtilities:1.4,0
org.wso2.carbon.apimgt.ui:org.wso2.carbon.apimgt.ui.publisher:9.0.208,0
io.micronaut.data:micronaut-data-hibernate-jpa:3.1.0,0
org.neo4j:neosemantics:4.3.0.1,0
org.eclipse.microprofile:microprofile-spec:5.0-RC1,0
de.codecentric:spring-boot-admin-dependencies:2.4.4,0
com.palantir.atlasdb:dropwizard-metrics-hack:0.430.0,0
io.datalbry.jetbrains:jetbrains-client-api:0.0.4,0
co.fs2:fs2-node_sjs1_2.13:3.1-58-6fdba0a,0
wtf.g4s8:matchers-json:1.4.0,0
org.sdase.commons:sda-commons-client-jersey:2.37.4,0
com.loginradius.android:androidsdk:4.9.1,0
com.codingfeline.buildkonfig:com.codingfeline.buildkonfig.gradle.plugin:0.10.2,0
io.shiftleft:console_2.13:1.3.351,0
org.gnieh:fs2-data-json-circe_2.12:1.1.0,0
org.entur:netex-parser-java:1.0.15,0
io.github.jeyhung:mathematics:0.0.1,0
dev.inmo:micro_utils.common-android:0.5.31,0
pl.datart:http4s-timer-core_3:0.1.19,0
hu.blackbelt.bundles.throwing-function:com.pivovarit.throwing-function:1.5.1_1,0
io.resys.hdes:hdes-dt:3.1.2,0
io.github.virusbear.trace:trace-jaeger:1.0.2,0
io.github.Matij:WiFiP2PLibrary:1.0.15,0
com.sandinh:couchbase-scala_2.12:9.1.0-RC1,0
nl.vpro.image:image-domain:5.30.4,0
nl.vpro.media:media-domain:5.30.4,0
nl.vpro.user:user-domain:5.30.4,0
org.mycore.mir:mir-module:2021.06.0,0
io.joern:javasrc2cpg_2.13:0.0.11,0
com.scandit.datacapture:id:6.10.0-beta.1,0
com.tagtraum:jitlibrary-parent:0.9.0,0
uk.num:num-java-module-binding-registrant:0.0.1,0
org.glassfish.main.admin:server-mgmt:6.2.2,0
org.glassfish.main.osgi-platforms:osgi-console-extensions:6.2.2,0
org.glassfish.main.admingui:console-jca-plugin:6.2.2,0
org.glassfish.main.web:gf-web-connector:6.2.2,0
org.glassfish.main.appclient:server:6.2.2,0
org.glassfish.main.diagnostics:diagnostics-context:6.2.2,0
org.glassfish.main.jms:jms:6.2.2,0
org.glassfish.main.distributions:nucleus-distributions:6.2.2,0
org.glassfish.main.jdbc.jdbc-ra.jdbc-core:jdbc-core:6.2.2,0
org.glassfish.main.webservices:webservices:6.2.2,0
co.datadome:regex-static-analysis:1.0.2,0
se.mdh:mdh-parent:40,0
no.difi.meldingsutveksling:parent-pom:2.2.5,0
com.codenameone:codenameone-factory:7.0.42,0
com.github.nbbrd.java-io-util:java-io-win:0.0.15,0
com.commercetools:commercetools-sync-java:8.0.0,0
io.mongock.professional:mongock-core-professional-bom:5.0.15.BETA,0
